Год,Общая численность населения,Количество родившихся,Количество умерших,Количество иностранных резидентов
2014,127237150,1003609,1273025,3300000
2015,127094745,1005721,1290510,2232189
2016,126932772,977242,1308158,2382822
2017,126706210,946146,1340567,2561848
2018,126443180,918400,1362470,2731093
2019,126166948,865239,1381093,2933137
2020,126146099,840832,1372648,2887116
2021,125502000,831000,1475000,2823565
2022,124947000,770747,1568961,3075213
2023,124500000,727000,1590503,3410992
2024,123753040,720988,1618684,3760000