Год,Общая численность населения,Количество родившихся,Количество умерших,Получено гражданства
2014,144025334,1942683,1912347,157800
2015,146743989,1940579,1908541,209799
2016,147580009,1888729,1891015,265319
2017,147182316,1690307,1826125,257800
2018,147797071,1604344,1828910,269400
2019,147840696,1481074,1798307,497800
2020,147959284,1436514,2138586,656300
2021,147455745,1398253,2441594,735385
2022,146980061,1306200,1905800,691045
2023,146447424,1264938,1760200,378500
2024,146028325,1222408,1818635,209000